actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Wang Zi Tong,Lu Yong,China,"Sep 26, 2019 - Oct 20, 2019",40,Drama,,10.0,0,Mongolia,National Children,2,11
Ren Zhong,Wayne Wang,China,"Nov 18, 2014 - Nov 30, 2014",50,Medical,BTV,10.0,0,,The Young Doctor,4,52
Num Sornram Theappitak,Tik Kanyarat Jiraratchakit,Thailand,"Mar 16, 2002 - Apr 28, 2002",20,"Comedy,  Romance,  Drama",Channel 3,10.0,0,Adapted From A Novel,Poo Kong Yod Ruk,2,16
Satoi Kenta,Toda Keiko,Japan,"Oct 11, 2003 - Dec 13, 2003",10,"Comedy,  Romance",NTV,10.0,0,,Ashita Tenki ni Naare,2,60
Kimi Li,Jean Li,China,"Aug  3, 2016",48,"Historical,  Comedy,  Medical",Youku,10.0,0,Ming Dynasty,Yi Guan Xiao Zhuan 2,3,45
Takenouchi Yutaka,Tokiwa Takako,Japan,"Jan 17, 1997 - Mar 21, 1997",10,"Comedy,  Romance,  Family",TBS,7.5,0,Marriage,Risou no Kekkon,31,95
Ball Jitpanu Klomkaew,Namwhan Phulita Supinchompoo,Thailand,"Jan  6, 2020 - Feb 12, 2020",28,"Action,  Horror,  Comedy,  Romance,  Drama",Channel 3,7.5,2,"Solve Cases, Smart Female Lead, Spirit, Police Officer, Death, Hate To Love, Cohabitation, Ghost-seeing Male Lead, Police, Adapted From A Novel",Mue Prab Khao Saan Sek,36,138
Inowaki Kai,Sato Kanichiro,Japan,"Aug 13, 2018 - Sep 17, 2018",6,"Friendship,  Mystery,  School",Fuji TV,7.4,2,"Miniseries, High School",Ao to Boku,68,245
Kang Sung Yun,Jo Han Sun,South Korea,"Jul  8, 2020 - Jul 16, 2020",4,"Mystery,  Psychological,  Crime,  Drama,  Investigation",MBC,7.3,4,"Meddlesome Personality, Self-conceited, Find The Truth, Real-estate Agent, Quarreling, Mysterious Case, Conflict, Hit And Run, Bad Cop, Child Behavior Issues",She Knows Everything,289,984
Kim Do Geon,Yoo Hye In,South Korea,"Mar 13, 2020 - Apr  3, 2020",4,"Friendship,  Romance,  Life,  Drama",,7.4,0,"Complicated Relationship, Youth Romance, Break Up, Naive Female Lead, Miniseries, Web Series, Nice Male Lead","Fight Hard, Love Harder: Season 2",60,226
Lee Jung,Lee Soo Hyuk,South Korea,"Dec  5, 2011 - Mar 30, 2012",79,"Vampire,  Comedy,  Drama,  Melodrama,  Supernatural,  Sitcom",MBN,7.3,2,"Girl's Day, Idol Actor",Vampire Idol,360,2713
Roy Chiu,Li Sheng,China,"May  1, 2014 - May 13, 2014",42,"Business,  Romance,  Drama",BTV,7.5,0,,Wine Beauty,26,372
Tul Pakorn Thanasrivanitchai,Prapang Attawibool Jintanadda,Thailand,"Jan 25, 2016 - Feb 14, 2016",4,,GMM One,7.5,0,,Condo/Barista/Architect,28,127
Inoue Masahiro,Moriya Kanna,Japan,"Jan 25, 2009 - Aug 30, 2009",31,Tokusatsu,TV Asahi,7.3,2,,Kamen Rider Decade,647,1248
Vincent Zhao,Peter Ho,Taiwan,2002,44,"Action,  Wuxia,  Fantasy","CTV, CTV",7.3,0,Adapted From A Manhua,Wind and Cloud,114,235
Pat Napapa Thantrakul,Por Tridsadee Sahawong,Thailand,"Feb  6, 2008 - Mar 26, 2008",13,"Comedy,  Drama",Channel 3,7.5,0,"Attempted Sexual Assault, Switched Identities, Evil Stepmother, Twins, Lost Child, Riches To Rags, Love–Hate Relationship, Rich Man/Poor Woman, Rich Male Lead, Adapted From A Novel",King Kaew Kar Fark,22,82
Jang Dong Gun,Kim Hyun Joo,South Korea,"Mar  1, 1999 - Mar 30, 1999",10,"Romance,  Youth,  Drama,  Melodrama",MBC,7.5,0,"Ex-girlfriend Comes Back, Terminal Illness, Love Square, Indeterminate Male Lead, Office Romance, Female Chases Male First, Unrequited Love",Springtime,22,112
Dylan Kuo,Li Man,China,"Jan 11, 2011 - Mar  1, 2011",34,"Adventure,  Romance,  Fantasy,  Supernatural",,7.5,0,,The Legend of Chinese Zodiac,23,111
Ray Ma,Deng Jia Jia,China,"Jun 23, 2016 - Jul 13, 2016",44,Romance,Shenzhen TV,7.5,1,,Edge to Happiness,22,281
Luo Jin,Zhang Tie Lin,China,"Jul 10, 2012 - Jul 29, 2012",39,"Action,  Historical,  Romance,  Martial Arts,  War",Anhui TV,7.4,1,"Yang Family, Northern Song Dynasty",Mu Guiying Takes Command,49,262
,,China,1987,36,"Historical,  Romance,  Tragedy",CCTV,8.2,0,Cao Xueqin,Dream of the Red Chamber,7,56
Wang  Luo Dan,Xiao Yin,China,"Feb 23, 2012 - 2012",49,"Military,  Historical",,8.2,0,,Hong Niang Zi,5,25
Son Dam Bi,Ha Ha,South Korea,"May 20, 2002 - Sep 12, 2003",303,"Friendship,  Comedy,  Romance,  Youth,  Drama,  Sitcom",MBC,7.6,0,,Nonstop 3,20,150
Tono Pakin Kumwilaisuk,Ak Akarat Nimitchai,Thailand,"Jun  2, 2018 - Sep  1, 2018",13,"Action,  Romance,  Martial Arts",GMM One,7.6,1,Chinese Opera,Monkey Twins,20,99
Chung Him Law,Wayne Wang,China,"Dec 21, 2016 - Feb  8, 2017",12,"Action,  Thriller,  Crime,  Detective,  Investigation","iQiyi, iQiyi",7.6,0,"Police Officer, Undercover Agent, Gangster",Infernal Affairs,20,143
Elvis Han,Lulu Xu,China,"Oct  9, 2018 - Nov 15, 2018",36,"Romance,  Youth,  Drama,  Sports","Dragon TV, Tencent Video, iQiyi, iQiyi",7.6,1,"Australia, Car Racing",Speed,20,274
Kitaoji Kinya,Izumiya Shigeru,Japan,"Apr 24, 2015 - Jun 12, 2015",8,"Friendship,  Comedy,  Family",TV Tokyo,7.6,0,"Arikawa Hiro, Adapted From A Novel",Sanbiki no Ossan 2,16,48
Ryusei Ryo,Tsunematsu Yuri,Japan,"May  5, 2019 - Jun 23, 2019",8,"Comedy,  School,  Drama","TBS, MBS",7.6,0,Adapted From A Manga,Toritsu Mizusho!,19,123
Niibori Kazuo,Yamada Minoru,Japan,"Oct 19, 1974 - Mar 29, 1975",24,"Action,  Tokusatsu,  Fantasy",MBS,7.4,1,"Fish Out Of Water, Superhero",Kamen Rider Amazon,107,336
Heart Evangelista, Alexander,Philippines,"Aug 21, 2017 - Jan 12, 2018",105,"Comedy,  Romance,  Drama",GMA,7.7,0,,My Korean Jagiya,13,42
Matsushita Nao,Uchida Yuki,Japan,"Nov 16, 2019 - Dec 14, 2019",5,,WOWOW,7.7,0,"Shizukui Shusuke, Adapted From A Novel",Hikinukiya: Headhunter no Ryugi,12,60
Golf Pichaya Nitipaisalkul,Gypsy Keerati Mahapreukpong,Thailand,"Feb  9, 2017 - Mar  2, 2017",4,"Psychological,  Romance,  Drama",GMM 25,7.7,1,,Kam Pood Tee Hai Pai,13,178
Wes Lo,Simon Lian,Taiwan,"Oct 15, 2016 - Jan 14, 2017",13,"Friendship,  School,  Youth,  Sports",GTV,7.7,0,,High 5 Basketball,14,168
Ada Choi,Aaron Kwok,Hong Kong,"Nov  2, 1992 - Dec 11, 1992",30,"Adventure,  Comedy,  Romance,  Wuxia",TVB Jade ,7.7,0,,The Revelation of the Last Hero,13,41
Ishiguro Ken,Oda Yuji,Japan,"Jan 13, 1993 - Mar 24, 1993",11,"Drama,  Medical",Fuji TV,7.7,0,,Furikaereba Yatsu ga Iru ,12,25
Lee Seung Yeon,Lee Mi Yeon,South Korea,"Dec  1, 1999 - Jan 27, 2000",16,"Romance,  Drama",SBS,7.7,0,,8 Love Stories,15,230
Toda Erika,Ishihara Satomi,Japan,"Feb 26, 2007 - Mar  1, 2007",4,"Life,  Drama",Fuji TV,7.3,0,,Tsubasa no Oreta Tenshitachi 2,317,619
Kenneth Ma,Selena Li,Hong Kong,"Jun 30, 2014 - Aug  8, 2014",30,"Historical,  Drama",TVB Jade ,7.4,1,,Ghost Dragon of Cold Mountain,91,183
Jung Ryeo Won,Lee Dong Wook,South Korea,"Oct 26, 2015 - Dec 15, 2015",16,"Comedy,  Romance,  Drama,  Family",tvN,7.3,8,"Friends To Lovers, Childhood Friends, Male Chases Female First, Nice Male Lead, Family",Bubblegum,2779,9325
Xiang Han Zhi,Chiu Shi Lun,China,"Mar 22, 2020",12,"Historical,  Comedy,  Romance","iQiyi, iQiyi",7.3,2,"Mystery, Love Triangle, Tao Guan, Cherry Blossom, Historical Fiction, Costume, Web Series, Love–Hate Relationship, First Love, Adapted From A Novel","Honey, Don't Run Away",149,778
Uee,Kim Jae Joong,South Korea,"Aug  9, 2017 - Sep 28, 2017",16,"Thriller,  Comedy,  Romance,  Youth,  Drama",KBS2,7.3,6,"Cheerful Male Lead, Psycho Second Lead, Photography, Male Chases Female First, Eccentric Male Lead, Childhood Friends, First Love, Unrequited Love, Love Triangle, Bromance",Manhole,2510,7003
Harry Hu,Camille Hua,China,"Jun 14, 2017 - Jul 19, 2017",36,"Action,  Suspense,  Drama","iQiyi, iQiyi",7.9,0,,The Hunting Genius,10,211
Park Sun Young,Kim Hye Soo,South Korea,"Nov  6, 2002 - Oct 23, 2003",100,"Historical,  Romance,  Drama",KBS2,7.9,0,Harem,Jang Hee Bin ,12,125
Ching Ying Lam,Kiki Sheung,Hong Kong,"Oct  7, 1996 - Dec 13, 1996",50,"Adventure,  Vampire,  Martial Arts,  Sci-Fi,  Zombies,  Fantasy",ATV,7.9,0,,Vampire Expert II,10,21
Julia Montes,Paulo Avelino,Philippines,"Jan 15, 2018 - Oct  5, 2018",182,"Action,  Thriller,  Romance,  Melodrama,  Political",ABS-CBN,7.9,0,,Asintado,12,50
Morni Chang,Ronald Zhai,China,"Apr 17, 2014 - May  7, 2014",55,"Friendship,  Historical,  Romance,  Life,  Drama,  Family",BTV,7.9,0,Early Republic,The Master of the House,11,70
Matsuoka Mayu,Ito Sairi,Japan,"Apr  8, 2016 - Jun 17, 2016",11,Comedy,TV Tokyo,7.5,2,Mockumentary,"Sono “Okodawari”, Watashi ni mo Kure yo!!",31,114
Amami Yuki,Tamayama Tetsuji,Japan,"Apr 19, 2005 - Jun 28, 2005",11,"Mystery,  Law",Fuji TV,8.1,0,Lawyer,Rikon Bengoshi Season 2,7,57
Eguchi Yosuke,Uchino Seiyou,Japan,"Oct  2, 2011 - Nov 20, 2011",8,"Suspense,  Sci-Fi",WOWOW,8.1,0,Neuroscientist,Pandora III: Kakumei Zenya,7,37
Asano Atsuko,Nomura Yuka,Japan,"Oct 12, 1998 - Dec 14, 1998",10,Comedy,TV Asahi,8.1,0,"Mother-Daughter Relationship, Body Swap",Change!,7,53
Chen Si Cheng,Justin Yuan,China,"Apr  1, 2018 - Apr 29, 2018",48,"Suspense,  Historical,  Political",Hunan TV,8.1,0,Chinese Republican Era,Great Expectations,9,162
Tamamori Yuta,Asakura Aki,Japan,"Oct 21, 2019 - Dec 30, 2019",11,"Food,  Romance,  Life",Paravi,8.1,0,"Kis-My-Ft2, French Restaurant, Chef, Love Triangle, Idol Actor",Grand Maison Tokyo: Hirako Shohei no Yureru Omoi,7,30
Frankie Lam,Athena Chu,Hong Kong,"Jan 25, 1993 - Feb 19, 1993",20,"Romance,  Fantasy",TVB Jade ,8.1,0,Crossworlds Traveler,Romance Beyond,7,25
Baron Chen,Gillian Chung,China,"Jul 28, 2015 - Aug 12, 2015",42,"Action,  Adventure,  Historical,  Romance,  Drama",,8.1,0,"Tomb Raiding, Chinese Republican Era, Qing Dynasty",Extremely Urgent,10,268
Benjamin Yuen,Natalie Tong,Hong Kong,"Apr 16, 2018 - May 11, 2018",20,"Comedy,  Romance,  Supernatural",TVB Jade ,7.4,0,,Stealing Seconds,54,158
Kent Cheng,Kent Tong,Hong Kong,"Jan 14, 2019 - Feb 22, 2019",30,"Adventure,  Comedy",TVB Jade ,7.5,0,"Fraud, Con Artist",I Bet Your Pardon,29,73
Ben Wong,Waise Lee,Hong Kong,"Feb 12, 2018 - Mar  2, 2018",15,Comedy,TVB Jade ,7.5,0,,Watch Out Boss,27,86
Jairus Aquino,Bugoy Carino,Philippines,"Nov 17, 2018 - Dec 19, 2018",14,"Action,  Thriller,  Horror,  Drama,  Supernatural",ABS-CBN,8.7,0,Mental Powers,Spirits Reawaken,4,24
Yin Fang,Sun Hong Lei,China,"Jan 13, 2020 - Feb 20, 2020",70,"Action,  Historical,  Romance,  War",Dragon TV,8.7,0,"Revolution, Brothers",New World,5,134
Nagayama Kento,Omori Nao,Japan,"Jul  9, 2017 - Sep 24, 2017",12,,TV Tokyo,8.7,0,Adapted From A Novel,Izakaya Fuji,4,148
Kohinata Fumiyo,Takeshita Keiko,Japan,"Apr  5, 2020 - May 24, 2020",8,"Comedy,  Drama,  Family",NHK,8.7,0,"Elderly Pregnancy, Elderly Couple, Married Couple","70-Sai, Hajimete Umimasu Sebuntiuizan",4,66
Off Pongpat Wachirabunjong,Alex Rendell,Thailand,"May 21, 2008 - Jun 17, 2008",20,"Romance,  Life,  Youth,  Drama,  Family,  Melodrama",Channel 3,8.7,0,Adapted From A Novel,Sood Tae Jai Ja Kwai Kwa,5,24
Ishida Miku,Tanaka Ritsuko,Japan,"Oct 11, 2004 - Mar  7, 2005",16,Horror,Fuji TV,8.7,0,,Honto ni Atta Kowai Hanashi: Season 2,4,32
Ikeya Chen,Darren Chiu,Taiwan,"Nov 23, 2016 - Feb 15, 2017",60,Family,TTV,8.7,0,,All in 700,4,82
Kelly Rattapong Tanapat,Auan Rangsit Sirananon,Thailand,"Oct 11, 2014 - Nov 16, 2014",17,"Horror,  Romance,  Drama,  Fantasy",Channel 7,8.7,0,Devil,Ngao,5,21
Ishizaka Koji,Higashiyama Noriyuki,Japan,"Jan  1, 1999 - Dec 12, 1999",49,,NHK,8.7,0,"Tackey & Tsubasa, Shonentai, Taiga, Edo Period, Idol Actor",Genroku Ryoran,4,32
Hsin Tien,James Wen,Taiwan,"May  5, 2019 - Jul 28, 2019",13,"Law,  Romance,  Drama",CTS,8.7,0,,Best Interest,5,94
Yam Thamolpan Panuchitputtiwong,Rattanapakdee Pratamaporn,Thailand,"May 17, 2003 - Jan  4, 2004",38,"Action,  Comedy,  Romance,  Drama,  Fantasy",Channel 7,8.7,0,Boran,Thep Sarm Rudoo,5,7
Eed Ron Banjongsang,Khwan Khwanruedi Klomklom,Thailand,"Jun  1, 1994 - Aug 15, 1994",21,"Comedy,  Romance",Channel 5,8.7,0,"Fake Marriage, Older Man/Younger Woman, Pretend Relationship, Marriage Of Convenience, Tomboy",Mia Kang Tanon,5,9
Miguel Tanfelix,Bianca Umali,Philippines,"Nov 27, 2017 - Aug  3, 2018",178,"Romance,  Drama,  Supernatural",GMA,8.7,2,"Possessed, Body Swap","Kambal, Karibal",7,29
Loura Lou,Michelle Bai,China,"Jun 14, 2015 - Jul  4, 2015",42,"Romance,  Drama,  Family,  Melodrama",,7.3,3,"Separated Family, Hardworking Female Lead, Jerk Male Lead, Betrayal, Single Parent, Sisterhood, Birth Secret, Strong Female Lead, Rich Man/Poor Woman",You Are My Sisters,208,621
Hongo Kanata,Yokohama Ryusei,Japan,"Jun  4, 2017 - Jun 25, 2017",4,,MBS,7.7,0,,Kaijuu Club Kuusou Tokusatsu Seishunki,14,131
Lin Shen,Li Qin,China,"Nov 30, 2013 - Jan  4, 2014",30,Romance,Hunan TV,7.5,1,,Flower Pinellia,24,199
Koyuki,Ito Atsushi,Japan,"Jan  8, 2017 - Mar 12, 2017",10,"Romance,  Drama",Fuji TV,7.5,1,"Johnny's WEST, Idol Actor",Daibinbo,26,237
Ikeda Junya,Nanri Miki,Japan,"Apr  6, 2013 - Sep 21, 2013",25,"Action,  Tokusatsu,  Horror",TV Tokyo,7.3,0,"Superhero, Sword-fight, Future, Nudity",GARO: The One Who Shines In The Darkness,230,581
Wattanajinda Sirapan,Hongmanop Phutanate,Thailand,"Jul  3, 2017 - Aug  7, 2017",11,"Romance,  Drama",GMM One,7.4,0,"Gay Relationship, Infidelity, Older Woman/Younger Man, Rape, Cheating, Gay Character",Sanaeha Diary Series: Buang Sanaeha,48,371
Park Han Byul,Lee Tae Gon,South Korea,"Dec  2, 2013 - May 30, 2014",122,"Business,  Romance,  Drama,  Family,  Melodrama",SBS,7.3,8,"Liar Female Lead, Family Dispute, Marriage Proposal, Family Relationship, Hidden Identity, Heiress, Misunderstanding, Strong Female Lead, Marriage, Cross-Dressing",One Well-Raised Daughter,729,2745
Eugene,Ryu Jin,South Korea,"Apr  8, 2006 - Aug  6, 2006",34,"Food,  Comedy,  Romance,  Drama",MBC,7.3,4,Love Triangle,I Really Really Like You,1127,2726
Allen Deng,Li Yi Tong,China,"Oct 24, 2019 - Dec  7, 2019",52,"Historical,  Business,  Romance,  Youth,  Drama","Anhui TV, ZJTV",7.3,4,"Guilt, Cherry Blossom, Hatred, Makeup Artist, Historical Fiction, Drowning, Nice Female Lead, Secret, Missing Father, Fake Marriage",Blossom in Heart,331,2391
Matsuda Shota,Sakai Ayana,Japan,"Jul 13, 2007 - Sep 14, 2007",10,"Romance,  Drama",TV Asahi,7.3,5,"Hostess, Revenge, Host Club, Adapted From A Manga",Jotei,841,1717
Li Chung Lin,U.Lin Huang,China,"Aug  1, 2016 - Aug 21, 2016",12,"Romance,  School,  Drama","iQiyi, iQiyi",7.4,0,"Adapted From A Web Novel, Bodyguard",Mr. Bodyguard 2,45,357
Bobby Au Yeung,Benny Chan,Hong Kong,"Jan 31, 2006 - Feb 26, 2006",20,"Mystery,  Comedy,  Romance,  Drama,  Supernatural,  Detective,  Investigation",TVB Jade ,7.3,0,,A Pillow Case of Mystery,185,387
Binnie,Jung Woo Jin,South Korea,"Jun 23, 2020 - Jul 21, 2020",10,"Mystery,  Romance",,7.5,0,"Idol Actress, Oh My Girl, Web Series, Student, Adapted From A Webtoon, Love Triangle",Sometoon 2020,63,237
Shiraishi Sei,Katayose Ryota,Japan,"Oct  4, 2018 - Dec  6, 2018",10,"Music,  Comedy,  Romance,  School",NTV,7.3,2,"Flashback To Past, Love Confession, Secret Crush, High School Romance, Orphan Female Lead, Reverse-Harem, Brother And Sister, Love At First Sight, Poor Female Lead, Father-Son Relationship",Prince of Legend,333,1147
Sakurai Sho,Fukiishi Kazue,Japan,"Jan 18, 2003 - Mar 15, 2003",9,School,NTV,7.3,4,"Preschool, Arashi, Teacher, Idol Actor",Yoiko no Mikata,385,864
Nagayama Kento,Watanabe Dai,Japan,"Jul 31, 2015 - Sep 25, 2015",9,Historical,NHK,7.6,1,"Adapted From A Novel, Adventure",Ichiro,20,82
Min Peechaya Wattanamontree,Thanwa Suriyajak,Thailand,"Aug 19, 2019 - Oct  7, 2019",15,"Romance,  Drama",Channel 7,7.4,2,"Hysteria, Good Twin/Evil Twin, Mistaken Identity, Sexual Content, Twins, Sexual Assault",Song Naree,106,328
Aimee Chan,Tony Hung,Hong Kong,"Jan 20, 2014 - Feb 14, 2014",22,"Romance,  Life,  Drama",TVB Jade ,7.4,1,,Outbound Love,98,217
Steven Ma,Linda Chung,Hong Kong,"Mar 31, 2008 - Apr 25, 2008",20,Drama,TVB Jade ,7.3,0,,A Journey Called Life,175,331
Matsu Takako,Fujita Makoto,Japan,"Oct 17, 2006 - Dec 26, 2006",11,"Comedy,  Romance,  Life,  Drama",Fuji TV,7.5,0,,Yakusha Damashii,35,99
Ram Chiang,Timothy Cheng,Hong Kong,"Jan 26, 2015 - Feb 27, 2015",25,"Law,  Drama",TVB Jade ,7.4,0,,Raising the Bar,96,190
Xia Zhi Yuan,Peng Yi Bo,China,"Jan  9, 2020 - Feb 13, 2020",12,"Suspense,  Historical,  Law,  Crime,  Drama,  Investigation",,7.7,0,,The Legend of Young Justice Bao,16,164
Son Yuke Songpaisan,Patricia Tanchanok Good,Thailand,"Mar 10, 2018 - Apr  1, 2018",11,"Comedy,  Romance,  Drama",Channel 3,7.7,0,"Gay Relationship, LGBTQ+, Adapted From A Novel, Gay Character",Ded Peek Nangfah,18,312
Kuan Denkhun Ngamnet,Natalie Panalee Varunwongse,Thailand,"Dec  7, 2016 - Jan 19, 2017",14,"Action,  Military,  Romance,  Political",Channel 3,7.7,0,"Strong Male Lead, Police Officer, Bodyguard, Princess",Dao Lhong Fah Phupaa See Ngern,15,165
Yoon Hee Seok,Park Tam Hee,South Korea,"Jan  5, 2015 - Jun 22, 2015",120,"Romance,  Family,  Melodrama",SBS,7.7,0,"Married Couple, Infidelity, Makjang, Revenge",Enchanting Neighbor,19,382
Nakagawa Taishi,Ito Kentaro,Japan,"Jun 27, 2018 - Jul 25, 2018",5,"Friendship,  Comedy,  Romance,  School,  Youth","TBS, MBS",7.3,3,"High School, Nice Male Lead, Adapted From A Manga, Gay Character, Bromance",Are You Ready? Hey You Girl!,753,2045
Kim So Yeon,Lee Sang Woo,South Korea,"Feb 27, 2016 - Aug 21, 2016",51,"Romance,  Drama,  Family,  Melodrama",MBC,7.3,2,"Nice Male Lead, Betrayal, Single Parent, Multi-Generational, One-night Stand, Tearjerker, Infidelity, Older Woman/Younger Man, Divorce, Terminal Illness",Happy Home,256,1257
Jerry Yan,Chen Yedda,China,"Nov 21, 2011 - Dec 30, 2011",38,"Romance,  Drama,  Melodrama",Dragon TV,7.3,1,,My Splendid Life,224,980
Lee Da Hae,Go Soo,South Korea,"Mar 19, 2005 - May 29, 2005",22,"Suspense,  Romance,  Drama,  Melodrama",SBS,7.3,4,"Hidden Identity, Rags To Riches, Second Chance, Revenge, Unrequited Love",Green Rose,713,1725
Wakui Emi,Hagiwara Masato,Japan,"Jan 12, 1994 - Mar 23, 1994",11,"Food,  Life,  Drama",Fuji TV,7.8,1,,Natsuko no Sake,12,34
Baifern Pimchanok Luevisadpaibul,Two Popetorn Soonthornyanakij,Thailand,"Feb  4, 2017 - Feb 25, 2017",4,"Romance,  Life,  Drama",GMM 25,7.8,0,"Warm Female Lead, Nice Female Lead, Disapproving Parent, Radio, Disability, Blindness, Blind Character, Nice Male Lead",Club Friday The Series Season 8: True Love…or Sympathy,12,76
Ter Chantavit Dhanasevi,Margie Rasri Balenciaga,Thailand,"Jul  3, 2015 - Jul 26, 2015",12,"Comedy,  Romance,  Drama",Channel 3,7.8,0,Adapted From A Novel,Poo Kong Yod Ruk,12,69
Fingal Fu,Li Bai Rong,China,"Aug 30, 2018 - Oct  4, 2018",20,"Suspense,  Thriller,  Mystery,  Detective,  Investigation",,7.8,0,,The Untold Stories of Tang Dynasty,12,165
Lee Chae Eun,Shin Soo Oh,South Korea,"Jan 19, 2016",8,"Comedy,  Life",,7.8,0,"Blind Date, Office Worker, Slice Of Life, Miniseries, Web Series",The Ordinary Life Of Ms. 'O'!,12,38
Tiffany Tang,Lemon Zhang,China,"Jan 22, 2011 - Feb 11, 2011",40,"Romance,  Family",Hunan TV,7.4,1,,My Daughter,119,387
Tavia Yeung,Michael Miu,Hong Kong,"Nov 20, 2006 - Jan  5, 2007",35,"Business,  Drama",TVB Jade ,7.3,0,"Poker, Mind Sport",Dicey Business,209,413
Na Hae Ryung,Ji Eun Sung,South Korea,"Feb 29, 2016 - Sep  6, 2016",128,"Romance,  Life,  Drama,  Family,  Melodrama",KBS2,7.5,1,"Hardworking Female Lead, Multiple Mains, Revenge, Multiple Couples",TV Novel: My Mind’s Flower Rain,31,255
Lee Wei,Jennifer Hong,Taiwan,"Aug 27, 2005 - Jan 14, 2006",20,"Suspense,  Horror",GTV,7.5,0,,Evil Spirit 05,26,65
Bee Namthip Jongrachatawiboon,Kong Saharat Sangkapricha,Thailand,"Jan  8, 2008 - Mar  7, 2008",34,"Romance,  Drama",Channel 5,8.0,0,Infidelity,Song Kram Nang Fah,10,50
Bow Maylada Susri,BigM Krittarit Butprom,Thailand,"Nov 28, 2017 - Jan 16, 2018",15,"Action,  Romance,  Crime,  Drama,  Tragedy",Channel 7,8.0,0,"Lovers To Enemies, Mafia, Hidden Identity, Gangster, Strong Female Lead",Hong Nuer Mungkorn,9,182
Dingdong Dantes,Rhian Ramos,Philippines,"Sep 14, 2009 - Dec 11, 2009",65,"Romance,  Drama,  Melodrama,  Tragedy",GMA,8.0,0,"Childhood Friends, Amnesia, First Love",Stairway to Heaven,10,36
Prince Chiu,Lulu Xu,China,"Mar 29, 2015 - Apr 27, 2015",52,"Romance,  Drama",Hunan TV,7.4,0,,The Wife's Lies,78,342
Kimberley Anne Woltemas,Smart Krissada Pornweroj,Thailand,"Oct 25, 2011 - Jan  6, 2012",22,"Romance,  Drama",Channel 3,7.4,0,"Secondary Couple, Fake Identity, Older Man/Younger Woman, Cold Man",Ruk Pathiharn,112,256
Hayashi Kento,Namioka Kazuki ,Japan,"Jun  3, 2016",10,"Friendship,  Comedy,  Life",Netflix,7.3,4,"Show Business, Slice Of Life, Adapted From A Novel",Spark,170,644
Nakai Kiichi,Ikegami Kimiko,Japan,"Jan 10, 1988 - Dec 18, 1998",50,,NHK,8.3,0,,Takeda Shingen,7,30
Jeong Bo Seok,Yoo Seung Ho,South Korea,"Dec  8, 2000 - Dec  9, 2000",4,"Drama,  Melodrama",MBC,8.3,0,,Daddy Fish,7,81
Liang Guan Hua,Zhang Zi Jian,China,"Aug  6, 2004 - 2004",30,"Historical,  Detective,  Investigation",CCTV,8.3,0,"Di Renjie, Detective Dee Ren Jie, Emperor Wu Zetian",Detective Dee,6,38
Zhang Ruo Yun,Jiang Yan,China,"Dec 10, 2017 - Dec 30, 2017",41,"Friendship,  Romance,  Life,  Drama,  Family,  Melodrama",Hunan TV,8.3,0,,Dear Them,6,138
Wayne Huang,Esther Wu,Taiwan,"Jul 30, 2018 - Aug 21, 2018",17,,"CTS, CHOCO TV",8.3,0,,Rock Soulmate,6,120
Roy Kim,Yoon Chae Sung,South Korea,"Jun 13, 2014 - Jul  4, 2014",4,Romance,XTM,8.3,0,,Access 2014,6,465
Xiu Jie Kai,Allison Lin,Taiwan,"Oct 19, 2019 - Feb  1, 2020",15,,TVBS,8.3,0,,Endless Love,8,134
Nakano Taiga,Satsukawa Aimi,Japan,"Jul  2, 2017 - Jul 23, 2017",4,"Comedy,  Romance",Hulu,8.3,0,,Yamagishi Desu ga Nani ka,6,46
Kingone Wang,Ying Er,China,"Aug  8, 2014 - 2014",36,"Romance,  Drama",CCTV,8.3,1,,Wonderful Spring,6,105
Yang Hong Seok,Lee Yoo Jin,South Korea,"Mar 23, 2019 - Apr 19, 2019",5,"Friendship,  Comedy,  Youth",,8.3,0,"Dance Competition, Miniseries, Web Series, Dance, College Life",On The Campus,6,147
Janine Chang,Liu Huan,China,"May  7, 2017 - Jun  5, 2017",43,"Historical,  Romance,  Medical",HBTV,8.3,0,Chinese Republican Era,Jade,8,193
Paulo Avelino,Ritz Azul,Philippines,"Sep 11, 2017 - Nov 24, 2017",55,"Romance,  Drama,  Sci-Fi,  Fantasy",ABS-CBN,8.3,0,,The Promise of Forever,6,41
Kataoka Naoto,Tomita Miu,Japan,"Sep 17, 2019 - Nov  5, 2019",8,"Comedy,  Romance,  Drama","Fuji TV, dTV",7.3,2,"Voice Actor, Male Chases Female First, Innocent Female Lead, Rich Male Lead, Positive Female Lead, Dream, Nice Male Lead, Fast Paced Romance, Famous Lead/Common Lead, Discrimination",Busu no Hitomi ni Koishiteru,286,748
Kim Hyun Soo,Yeon Je Hyung,South Korea,"Jun 16, 2019 - Jul  7, 2019",6,"Friendship,  Romance,  School,  Youth",vLive,7.4,0,"Idol Fangirl, K-Pop, Miniseries, Web Series, Student/Teacher Relationship",Biggest Fan,84,261
Minami Shouta,Nakamaru Shion,Japan,"Dec 20, 2008 - Mar 14, 2009",13,"Action,  Adventure,  Tokusatsu,  Sci-Fi",TBS,7.6,0,,Ultra Galaxy Mega Monster Battle: Never Ending Odyssey,20,71
