actor_1,actor_2,country,date_aired,episodes,genre,network,rating,reviews,tag,title,users,watchers
Narita Ryo,Araki Yuko,Japan,"Jul 23, 2018 - Jul 27, 2018",5,"Drama,  Medical",,7.8,0,"Hey! Say! Jump, Emergency Service, Doctor, Idol Actor",Code Blue: Another Everyday,157,360
Ananda Everingham,Kimberley Anne Woltemas,Thailand,"Mar 10, 2015 - Apr  7, 2015",9,"Action,  Historical,  Comedy,  Romance,  Drama",Channel 3,7.7,3,"Mafia, Slap And Kiss, Star Crossed Lovers, Lovers Separated, Power Struggle, Deserted Island, Death, Hate To Love, Misunderstanding, Kidnapping",Mafia Luerd Mungkorn: Suer,425,979
Gameplay Garnpaphon  Laolerkiat,Runn Tiyakorn,Thailand,"Oct 31, 2019 - Jul  1, 2020",3,"Horror,  Romance,  Drama",,7.7,5,"Gay Relationship, LGBTQ+, Miniseries, Infidelity, Death, Gay Character, Ghost, Supernatural, Haunting, Unrequited Love",He She It,555,1428
Kim So Yeon,Park Shi Hoo,South Korea,"Mar 31, 2010 - May 20, 2010",16,"Comedy,  Law,  Romance,  Drama",SBS,7.7,24,"Airhead Female Lead, Revenge, Charming Male Lead, Love Triangle, Eccentric Female Lead, Prosecutor",Prosecutor Princess,8355,15610
Arthur Chen,Cheng Xiao,China,"Apr 23, 2020 - May 10, 2020",48,"Action,  Adventure,  Historical,  Romance,  Wuxia,  Fantasy","iQiyi, Youku, iQiyi, Mango TV, Mango TV",7.7,23,"Xuanhuan, Friendship, Orphan Male Lead, Hidden Identity, Butterfly Blue, Revenge, Martial Arts School, Web Series, Talented Lead, Rivalry",Legend of Awakening,682,3036
Son Sang Yeon,Yang Hye Ji,South Korea,"Oct 28, 2019 - Nov 26, 2019",10,"Friendship,  Romance,  School,  Youth,  Drama","MBC, vLive",7.7,6,"High School, Web Series, Love Triangle, Childhood Friends, Sly Character, Smart Female Lead, Bromance, Shy Male Lead, Sweet Male Lead, Realist",Failing in Love,1065,3033
Odagiri Joe,Ono Machiko,Japan,"Oct 21, 2015 - Dec 23, 2015",10,"Comedy,  Romance,  Life",TBS,7.8,5,Slice Of Life,Okashi no Ie,257,745
Deng Chao,Ady An,China,"Oct 23, 2009 - Nov 11, 2009",40,"Historical,  Wuxia",Hunan TV,7.8,3,"Condor Trilogy, Jin Yong, Yuan Dynasty, Adapted From A Novel",The Heaven Sword and Dragon Saber,284,601
Weber Yang,Cheryl Yang,Taiwan,"Dec 19, 2015 - Apr  2, 2016",31,"Military,  Friendship,  Historical,  Romance,  Drama,  War",PTS,8.5,2,"Pilot, Chinese Republican Era",A Touch of Green,35,395
Watanabe  Mayu,Shinoda Mariko,Japan,"Feb 11, 2013 - Feb 13, 2013",3,"Friendship,  Music,  Life,  School",NTV,7.8,0,,So Long,229,523
